id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
Adgrg6	2	13	11	23	1175	745	836	1161	0.0078125	0.0170255383	-2.1072099696	-1.7688991478
Csrp3	7	5	3	11	462	743	534	288	0.0099585062	0.0170316302	-2.0018058009	-1.7687437819
Gm13791	9	1	4	13	532	355	413	585	0.0112739572	0.0170340681	-1.9479236198	-1.7686816199
Fndc7	3	2	5	7	351	298	319	385	0.0077041602	0.0170454545	-2.1132746925	-1.7683914131
RP23-191M12.2	5	4	3	5	273	211	191	278	0.0185950413	0.0170575693	-1.7306028522	-1.7680828557
Styk1	2	1	7	6	441	289	333	429	0.004109589	0.0170603675	-2.3862016054	-1.768011619
Slc1a7	7	13	7	8	482	413	351	528	0.0223463687	0.0170648464	-1.6507930397	-1.767897616
RP23-336P21.1	9	2	3	2	173	141	132	161	0.0350318471	0.0170648464	-1.4555369629	-1.767897616
Sema3f	13	8	13	14	815	737	916	666	0.0135309278	0.0170670038	-1.8686724222	-1.767842715
RP23-367D2.1	3	9	9	13	812	557	538	751	0.0087655223	0.0170674942	-2.0572222021	-1.7678302365
Dok7	11	7	3	9	377	284	312	391	0.0272314675	0.0170697013	-1.5649289544	-1.767774079
Gm34728	7	17	7	4	344	278	299	345	0.038585209	0.0170807453	-1.413579143	-1.7674931822
Zp3r	5	7	6	6	426	235	277	425	0.0181543116	0.0170940171	-1.7410202134	-1.7671558661
RP23-453B4.3	5	6	1	5	191	189	164	187	0.0289473684	0.0170940171	-1.5383909115	-1.7671558661
Fam217a	1	5	2	2	111	84	123	111	0.0307692308	0.0170940171	-1.511883361	-1.7671558661
Cul4b	4	8	8	13	718	847	694	534	0.0076677316	0.0171009772	-2.1153330958	-1.7669790721
Ndufs2	11	7	11	17	796	1143	996	641	0.0092831356	0.0171044594	-2.032305304	-1.7668906481
9531134E11Rik	15	18	11	16	1259	844	942	636	0.0156918688	0.0171102662	-1.8043253328	-1.7667432347
Platr16	3	5	8	6	392	324	353	465	0.0111731844	0.0171149144	-1.9518230353	-1.766625268
Itgam	4	7	8	11	483	395	514	596	0.0125284738	0.0171171171	-1.9021018307	-1.7665693778
RP23-132B15.4	4	1	2	6	219	162	236	231	0.0131233596	0.017130621	-1.8819549713	-1.7662268936
Mtx1	11	11	15	7	551	632	737	547	0.0185967878	0.0171339564	-1.7305620638	-1.7661423429
Gm17655	2	2	1	5	174	158	183	167	0.0120481928	0.0171428571	-1.9190780924	-1.765916794
Cyp2b13	4	2	4	8	226	173	229	471	0.015037594	0.0171428571	-1.8228216453	-1.765916794
